Data export from Solartopo.com:

Date;19-5-2020;dd.mm.yyyy
UTC;2;h
Longitude;4.8320114;Degree
Latitude;45.7578137;Degree
Altitude;171;m

Time;Zenith;Azimuth
0:0;-20.833585699836;335.54114017993
0:15;-21.838780449531;339.17182917025
0:30;-22.687519858595;342.87207543511
0:45;-23.373466113083;346.63242345992
1:0;-23.891266723175;350.44157476265
1:15;-24.236737409736;354.28664650958
1:30;-24.407014562073;358.15353915722
1:45;-24.400664143641;2.0273913805724
2:0;-24.217737759255;5.893093235854
2:15;-23.85977055181;9.7358202694942
2:30;-23.329721127812;13.541543754042
2:45;-22.631859193572;17.297480194016
3:0;-21.771610452766;20.99245179213
3:15;-20.7553720457;24.61713705905
3:30;-19.590312438175;28.164208490411
3:45;-18.284168540585;31.628365795839
4:0;-16.845052297191;35.006277641942
4:15;-15.281275162915;38.296454451069
4:30;-13.601195435849;41.499076117027
4:45;-11.813092494584;44.615793243343
5:0;-9.925068012457;47.649521605379
5:15;-7.9449721054306;50.604245284927
5:30;-5.8803535137044;53.484836190989
5:45;-3.4805235245877;56.296897868157
6:0;-0.80356668577922;59.046638283116
6:15;1.1383257813861;61.7407707053
6:30;3.3080614584288;64.386443906039
6:45;5.6203839137667;66.991201891681
7:0;8.0129417344164;69.562969944223
7:15;10.461581628842;72.110067129497
7:30;12.953776700372;74.641245728498
7:45;15.481130554468;77.165755613657
8:0;18.036968981288;79.693435498
8:15;20.615406967142;82.23483384466
8:30;23.21091126129;84.8013601948
8:45;25.818049626816;87.405471727883
9:0;28.431313999538;90.060900896627
9:15;31.044967151117;92.782927654291
9:30;33.652889654009;95.588703091287
9:45;36.248413183948;98.49763066449
10:0;38.824126320976;101.53180497872
10:15;41.371642987867;104.71650453004
10:30;43.881323487609;108.08072160163
10:45;46.341935095101;111.65768354449
11:0;48.740244059206;115.48527876439
11:15;51.060536468275;119.60622725103
11:30;53.28407607822;124.06771493158
11:45;55.38853781605;128.92004915219
12:0;57.347505097529;134.21369195012
12:15;59.130195673204;139.9938593077
12:30;60.701689609849;146.29194919454
12:45;62.02403320175;153.11371859247
13:0;63.058598743304;160.42576052211
13:15;63.769857550345;168.14440390861
13:30;64.130163024259;176.13333829773
13:45;64.12438578602;184.21538504037
14:0;63.752799644014;192.1981586825
14:15;63.031028867595;199.90547786565
14:30;61.987079565644;207.2026604153
14:45;60.656674025896;214.00779073499
15:0;59.078486264819;220.28895417294
15:15;57.29041323404;226.05296415658
15:30;55.327261420803;231.33184484605
15:45;53.219678726627;236.17110232641
16:0;50.993948991826;240.62126400491
16:15;48.672277821213;244.73257097903
16:30;46.273299790468;248.55207691281
16:45;43.812645431201;252.12234475066
17:0;41.303481940859;255.48110459146
17:15;38.756990129981;258.66143622556
17:30;36.182770141398;261.69220022077
17:45;33.589178784943;264.5985604139
18:0;30.983606731186;267.40251299629
18:15;28.372708620656;270.12337750545
18:30;25.762596095252;272.77823350755
18:45;23.159003577695;275.38229967991
19:0;20.567440588402;277.9492553995
19:15;17.993344536905;280.49151106255
19:30;15.442257166916;283.02043395519
19:45;12.920075040082;285.54653316506
20:0;10.433486753081;288.07960935321
20:15;7.9909053157546;290.62887415531
20:30;5.6048725355231;293.20303994967
20:45;3.2995274059448;295.81038275522
21:0;1.1369717253489;298.45878018022
21:15;-0.79786508398691;301.15572245062
21:30;-3.4611676078868;303.90829699722
21:45;-5.8566292549464;306.72314682626
22:0;-7.911794474416;309.60639952114
22:15;-9.8819115596183;312.56356722288
22:30;-11.7594369268;315.59941897716
22:45;-13.536533540258;318.71782475718
23:0;-15.205122315345;321.92157608498
23:15;-16.756957493047;325.21219138043
23:30;-18.183726758821;328.58971394582
23:45;-19.477177976813;332.0525181507
